#   X     Y     Z      S       D
   111   198   155  4.4070  1.3542
   110   198   155  4.4040  1.3528
   110   199   155  4.3942  1.3482
   111   199   155  4.3889  1.3458
   111   197   155  4.3873  1.3450
   112   198   155  4.3835  1.3433
   110   197   155  4.3772  1.3403
   112   197   155  4.3710  1.3375
   112   199   155  4.3567  1.3308
   110   197   154  3.8734  1.1183
   110   198   154  3.8658  1.1151
   110   199   154  3.8119  1.0925
   111   197   154  3.8018  1.0883
   111   198   154  3.7785  1.0787
   111   199   154  3.7128  1.0517
   112   197   154  3.7123  1.0515
   112   198   154  3.6737  1.0357
   112   199   154  3.5966  1.0048
   109   198   155  4.3773  1.3404
   109   199   155  4.3754  1.3395
   110   200   155  4.3459  1.3258
   109   197   155  4.3432  1.3245
   109   200   155  4.3353  1.3209
   111   196   155  4.3319  1.3193
   111   200   155  4.3318  1.3193
   113   198   155  4.3302  1.3185
   113   197   155  4.3253  1.3163
   112   196   155  4.3209  1.3143
   110   196   155  4.3163  1.3121
   113   199   155  4.2939  1.3019
   112   200   155  4.2895  1.2999
   113   196   155  4.2806  1.2958
   109   196   155  4.2761  1.2937
   113   200   155  4.2160  1.2665
   109   198   154  3.9275  1.1412
   109   197   154  3.9205  1.1382
   109   199   154  3.8855  1.1234
   109   196   154  3.8683  1.1162
   110   196   154  3.8375  1.1032
   109   200   154  3.7935  1.0849
   111   196   154  3.7838  1.0809
   110   198   153  3.7809  1.0807
   109   199   153  3.7796  1.0802
   109   198   153  3.7794  1.0801
   110   199   153  3.7781  1.0796
   111   198   153  3.7575  1.0711
   111   199   153  3.7526  1.0690
   109   200   153  3.7456  1.0662
   110   197   153  3.7454  1.0661
   109   197   153  3.7418  1.0646
   110   200   153  3.7400  1.0638
   111   197   153  3.7229  1.0568
   112   196   154  3.7126  1.0516
   110   200   154  3.7117  1.0512
   111   200   153  3.7109  1.0519
   112   198   153  3.7058  1.0499
   112   199   153  3.6994  1.0472
   112   197   153  3.6718  1.0360
   110   196   153  3.6712  1.0358
   109   196   153  3.6661  1.0337
   112   200   153  3.6548  1.0291
   111   196   153  3.6490  1.0268
   113   196   154  3.6270  1.0169
   113   198   153  3.6230  1.0163
   113   199   153  3.6153  1.0132
   113   197   154  3.6093  1.0098
   111   200   154  3.6050  1.0081
   112   196   153  3.5979  1.0063
   113   197   153  3.5898  1.0030
   113   200   153  3.5686  0.9946
   113   198   154  3.5565  0.9888
   113   196   153  3.5166  0.9741
   112   200   154  3.4823  0.9597
   113   199   154  3.4695  0.9547
   113   200   154  3.3501  0.9088
   108   199   155  4.3339  1.3202
   108   198   155  4.3277  1.3174
   108   200   155  4.3014  1.3053
   108   197   155  4.2858  1.2982
   110   201   155  4.2588  1.2858
   109   201   155  4.2561  1.2846
   114   197   155  4.2479  1.2809
   114   198   155  4.2446  1.2794
   111   195   155  4.2428  1.2786
   111   201   155  4.2353  1.2752
   112   195   155  4.2351  1.2751
   108   201   155  4.2292  1.2725
   110   195   155  4.2236  1.2699
   108   196   155  4.2119  1.2646
   114   196   155  4.2091  1.2633
   114   199   155  4.1983  1.2585
   113   195   155  4.1980  1.2584
   112   201   155  4.1827  1.2515
   109   195   155  4.1793  1.2500
   114   195   155  4.1301  1.2281
   108   195   155  4.1105  1.2194
   114   200   155  4.1092  1.2189
   113   201   155  4.0979  1.2139
   108   199   152  4.0287  1.1872
   108   198   152  4.0171  1.1822
   108   200   152  4.0020  1.1756
   114   201   155  3.9802  1.1626
   108   197   152  3.9691  1.1614
   108   198   154  3.9544  1.1527
   109   199   152  3.9504  1.1534
   109   198   152  3.9474  1.1521
   108   201   152  3.9368  1.1475
   108   197   154  3.9345  1.1442
   108   199   154  3.9236  1.1396
   109   200   152  3.9180  1.1395
   109   197   152  3.9103  1.1362
   108   196   152  3.8881  1.1268
   108   196   154  3.8690  1.1164
   110   198   152  3.8601  1.1150
   110   199   152  3.8559  1.1132
   109   201   152  3.8501  1.1108
   109   196   152  3.8417  1.1072
   108   200   154  3.8407  1.1046
   110   197   152  3.8324  1.1033
   110   200   152  3.8188  1.0976
   108   195   152  3.7796  1.0813
   109   195   154  3.7777  1.0783
   110   196   152  3.7748  1.0793
   108   195   154  3.7660  1.0735
   111   198   152  3.7650  1.0753
   110   195   154  3.7631  1.0723
   108   199   153  3.7597  1.0720
   111   199   152  3.7554  1.0713
   108   198   153  3.7554  1.0702
   110   201   152  3.7488  1.0686
   109   195   152  3.7459  1.0674
   111   197   152  3.7445  1.0668
   108   200   153  3.7305  1.0600
   111   195   154  3.7278  1.0578
   111   200   152  3.7146  1.0545
   108   197   153  3.7142  1.0533
   108   201   154  3.7080  1.0497
   111   196   152  3.6957  1.0468
   110   195   152  3.6908  1.0448
   109   201   153  3.6818  1.0401
   112   195   154  3.6759  1.0367
   108   201   153  3.6724  1.0363
   110   201   153  3.6707  1.0356
   112   198   152  3.6675  1.0353
   109   201   154  3.6544  1.0279
   112   199   152  3.6541  1.0299
   112   197   152  3.6520  1.0290
   111   201   152  3.6428  1.0253
   111   201   153  3.6366  1.0218
   108   196   153  3.6356  1.0214
   111   195   152  3.6218  1.0168
   112   200   152  3.6106  1.0123
   112   196   152  3.6096  1.0120
   113   195   154  3.6090  1.0097
   112   201   153  3.5764  0.9977
   110   201   154  3.5680  0.9934
   113   198   152  3.5674  0.9951
   110   195   153  3.5611  0.9916
   113   197   152  3.5551  0.9902
   109   195   153  3.5550  0.9892
   113   199   152  3.5516  0.9888
   112   195   152  3.5435  0.9856
   111   195   153  3.5391  0.9829
   112   201   152  3.5370  0.9830
   114   196   154  3.5275  0.9774
   114   195   154  3.5266  0.9770
   108   195   153  3.5220  0.9762
   113   196   152  3.5174  0.9753
   114   198   153  3.5074  0.9704
   113   200   152  3.5061  0.9709
   114   199   153  3.4984  0.9669
   114   197   154  3.4947  0.9645
   112   195   153  3.4879  0.9628
   113   201   153  3.4875  0.9626
   114   197   153  3.4759  0.9581
   114   198   152  3.4606  0.9531
   111   201   154  3.4583  0.9504
   113   195   152  3.4574  0.9518
   114   200   153  3.4508  0.9483
   114   197   152  3.4507  0.9492
   114   199   152  3.4433  0.9463
   113   201   152  3.4308  0.9415
   114   198   154  3.4300  0.9394
   114   196   152  3.4165  0.9360
   113   195   153  3.4076  0.9316
   114   196   153  3.4049  0.9306
   114   200   152  3.3964  0.9283
   114   201   153  3.3688  0.9168
   114   195   152  3.3618  0.9150
   114   199   154  3.3353  0.9032
   112   201   154  3.3341  0.9027
   114   201   152  3.3195  0.8989
   114   195   153  3.2987  0.8902
   114   200   154  3.2129  0.8574
   113   201   154  3.2020  0.8533
   108   198   156  3.0973  0.8137
   108   197   156  3.0941  0.8125
   108   199   156  3.0707  0.8041
   114   201   154  3.0664  0.8040
   108   196   156  3.0638  0.8016
   108   200   156  3.0119  0.7831
   108   195   156  3.0094  0.7822
   107   199   155  4.2685  1.2903
   107   198   155  4.2538  1.2836
   107   200   155  4.2438  1.2790
   108   198   151  4.2347  1.2803
   109   198   151  4.2181  1.2728
   108   197   151  4.2146  1.2712
   107   198   151  4.2131  1.2705
   108   199   151  4.2095  1.2689
   107   197   155  4.2034  1.2608
   109   197   151  4.1989  1.2641
   107   199   151  4.1926  1.2612
   109   199   151  4.1911  1.2606
   107   197   151  4.1901  1.2601
   107   201   155  4.1783  1.2496
   110   198   151  4.1737  1.2527
   110   197   151  4.1530  1.2434
   108   196   151  4.1524  1.2432
   110   199   151  4.1476  1.2410
   109   202   155  4.1393  1.2322
   108   200   151  4.1389  1.2371
   115   197   155  4.1382  1.2317
   109   196   151  4.1360  1.2359
   110   202   155  4.1344  1.2300
   107   200   151  4.1277  1.2322
   107   196   151  4.1275  1.2321
   115   198   155  4.1265  1.2265
   111   194   155  4.1225  1.2247
   107   196   155  4.1223  1.2246
   108   202   155  4.1189  1.2231
   109   200   151  4.1183  1.2280
   112   194   155  4.1158  1.2218
   111   198   151  4.1110  1.2247
   115   196   155  4.1058  1.2173
   110   194   155  4.1020  1.2157
   111   202   155  4.1020  1.2157
   111   199   151  4.0881  1.2146
   110   196   151  4.0879  1.2145
   111   197   151  4.0868  1.2140
   113   194   155  4.0800  1.2060
   107   199   152  4.0783  1.2090
   110   200   151  4.0757  1.2091
   107   202   155  4.0737  1.2033
   115   199   155  4.0700  1.2016
   107   200   152  4.0580  1.2001
   107   198   152  4.0575  1.1998
   109   194   155  4.0563  1.1956
   108   195   151  4.0539  1.1995
   112   202   155  4.0393  1.1882
   112   198   151  4.0364  1.1919
   109   195   151  4.0349  1.1912
   107   195   151  4.0313  1.1897
   115   195   155  4.0311  1.1847
   108   201   151  4.0261  1.1874
   107   201   151  4.0210  1.1851
   111   200   151  4.0194  1.1844
   112   199   151  4.0185  1.1840
   111   196   151  4.0178  1.1837
   107   195   155  4.0162  1.1782
   114   194   155  4.0139  1.1772
   112   197   151  4.0070  1.1790
   109   201   151  4.0036  1.1776
   107   197   152  3.9982  1.1740
   107   201   152  3.9962  1.1731
   108   194   155  3.9859  1.1651
   110   195   151  3.9833  1.1688
   115   200   155  3.9702  1.1584
   110   201   151  3.9621  1.1596
   112   200   151  3.9543  1.1563
   113   198   151  3.9518  1.1552
   113   202   155  3.9442  1.1472
   113   199   151  3.9400  1.1501
   107   198   154  3.9379  1.1457
   112   196   151  3.9323  1.1468
   108   194   151  3.9260  1.1441
   115   194   155  3.9176  1.1359
   107   199   154  3.9174  1.1369
   113   197   151  3.9159  1.1398
   111   201   151  3.9089  1.1368
   107   194   151  3.9086  1.1367
   111   195   151  3.9084  1.1366
   107   197   154  3.9079  1.1329
   107   196   152  3.9050  1.1340
   109   194   151  3.9022  1.1340
   107   202   152  3.8947  1.1296
   107   194   155  3.8907  1.1245
   113   200   151  3.8813  1.1251
   107   202   151  3.8776  1.1235
   108   202   151  3.8775  1.1235
   114   198   151  3.8550  1.1140
   109   202   151  3.8537  1.1134
   114   199   151  3.8501  1.1119
   112   201   151  3.8480  1.1110
   110   194   151  3.8457  1.1101
   107   200   154  3.8443  1.1061
   113   196   151  3.8347  1.1054
   108   202   152  3.8345  1.1042
   107   196   154  3.8330  1.1014
   115   201   155  3.8312  1.0995
   112   195   151  3.8171  1.0981
   114   202   155  3.8168  1.0935
   110   202   151  3.8139  1.0967
   114   197   151  3.8121  1.0959
   114   200   151  3.7975  1.0899
   107   195   152  3.7847  1.0834
   113   201   151  3.7797  1.0825
   111   194   151  3.7653  1.0765
   111   202   151  3.7639  1.0759
   109   202   152  3.7482  1.0683
   115   199   151  3.7445  1.0679
   115   198   151  3.7423  1.0670
   114   196   151  3.7241  1.0595
   107   195   154  3.7228  1.0558
   107   201   154  3.7203  1.0547
   107   199   153  3.7201  1.0557
   113   195   151  3.7131  1.0550
   107   198   153  3.7104  1.0517
   112   202   151  3.7067  1.0524
   114   201   151  3.7010  1.0500
   115   200   151  3.6985  1.0490
   107   200   153  3.6965  1.0461
   115   197   151  3.6925  1.0465
   112   194   151  3.6681  1.0366
   107   197   153  3.6643  1.0330
   115   202   155  3.6602  1.0293
   109   194   154  3.6577  1.0293
   110   194   154  3.6569  1.0290
   108   194   152  3.6510  1.0286
   110   202   152  3.6473  1.0271
   107   194   152  3.6461  1.0267
   107   201   153  3.6442  1.0249
   113   202   151  3.6422  1.0261
   111   194   154  3.6382  1.0214
   108   194   154  3.6365  1.0208
   109   194   152  3.6289  1.0197
   115   201   151  3.6077  1.0122
   112   194   154  3.6043  1.0078
   115   196   151  3.5986  1.0086
   114   195   151  3.5968  1.0078
   109   202   153  3.5930  1.0043
   108   202   153  3.5899  1.0031
   107   194   154  3.5894  1.0019
   110   194   152  3.5854  1.0023
   107   196   153  3.5813  0.9996
   110   202   153  3.5754  0.9973
   107   202   153  3.5677  0.9942
   114   202   151  3.5675  0.9961
   113   194   151  3.5583  0.9925
   113   194   154  3.5556  0.9885
   107   202   154  3.5512  0.9867
   111   202   152  3.5412  0.9847
   111   202   153  3.5352  0.9814
   108   202   154  3.5316  0.9790
   111   194   152  3.5266  0.9789
   107   200   157  3.4926  0.9610
   114   194   154  3.4903  0.9628
   107   201   157  3.4867  0.9587
   115   202   151  3.4785  0.9610
   107   199   157  3.4785  0.9555
   109   202   154  3.4743  0.9566
   112   202   153  3.4700  0.9558
   115   195   151  3.4670  0.9565
   107   195   153  3.4644  0.9536
